run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:sum(packetBytes),title,"packet drops: queue overflow, sum(packetBytes)",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetRemoved:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetRemoved:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetRemoved:count,title,"packets removed, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetRemoved:sum(packetBytes),,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetRemoved:sum(packetBytes),interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetRemoved:sum(packetBytes),title,"packets removed, sum(packetBytes)",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:max,,,NaN,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:max,interpolationmode,sample-hold,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:max,source,count(packetEnqueued) - count(packetDequeued),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:max,title,"queue length, max",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:timeavg,,,NaN,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:timeavg,interpolationmode,sample-hold,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:timeavg,source,count(packetEnqueued) - count(packetDequeued),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:timeavg,title,"queue length, timeavg",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.contention,channelAccessGranted:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.contention,channelAccessGranted:count,title,"channel access granted, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.contention,stateChanged:count,,,2,,,,,,,,
